mean_oa,median_oa,mean_ad,median_ad,mean_ac,median_ac,mean_on,median_on,sd_oa,sd_ad,sd_ac,sd_on,shape_oa,shape_ad,shape_ac,shape_on,scale_oa,scale_ad,scale_ac,scale_on,od_mean,od_median,od_sd,od_p95,oc_mean,oc_median,oc_sd,oc_p95,β_0,β_hcw,β_def,β_age,cfr_baseline,cfr_hcw_conf,cfr_nonhcw_prob,cfr_hcw_prob,in_hospital_fatality,los_mean,los_median,los_sd,los_p95
3.5131552459705553,2.570855197268053,7.267874679935933,6.060006534399209,7.8849253817211205,3.356716199631288,17.408903377086833,10.444067027085167,3.261613658680769,5.228016619764547,11.558158198869217,20.271315262764965,1.1601914189479252,1.9325953989846905,0.4653909209851664,0.7375287830547737,3.0280824255331282,3.7606809390906077,16.942585310924965,23.604371486331452,10.584168260361887,9.399650126000624,6.04231332138953,21.628299005433067,10.643032052900882,7.12740047251999,10.63054587446728,34.12592284576617,-0.14720494376241008,-1.4104399444202276,2.1055227273393626,-0.22115111713441707,0.46326507510966153,0.17398485001670072,0.8763507826897758,0.6336430934668221,0.6086366695123485,7.622498616147186,5.6598167269746895,7.757739806293456,22.17578028223005
4.649202655093564,3.4070620654391455,7.055946202714106,5.8891007805074125,7.060672860202909,6.020432827327282,22.886799943383632,10.79418832088527,4.307099078846445,5.062428327292524,4.769975363947269,31.699644840102827,1.1651644616409338,1.942641877428804,2.1910884416705376,0.5212683468377067,3.99016860550824,3.6321394512780962,3.2224499595368616,43.905984474651554,11.713476263375368,10.057365671188446,6.9885300503600405,23.64109270003257,11.378582576774486,10.289203106262491,6.154450234523297,22.66778534531039,0.03247826561940406,-0.6324937733193373,1.4381149588588868,-0.2000440690445329,0.508118852744709,0.3543401458648682,0.8131475364850848,0.6980647875317817,0.4700096096400932,7.17527487101283,6.241200706753513,4.694474694001224,16.41716105441792
4.95259447667174,3.6366226004581432,7.516996964223121,6.143654934179815,6.458694244337783,5.272487626373915,25.540096962813543,14.371994971779959,4.574464052240314,5.682470813535477,4.895960057174898,31.37252741896072,1.1721551492654807,1.7499043960611242,1.7402583203320798,0.6627444024755438,4.225203873203333,4.2956615122192945,3.7113422581455158,38.53687314055588,12.438740154698431,10.704255407708215,7.638814631818599,26.266116461623913,11.058695634341975,9.754678448464723,6.443482512873706,22.58514432464978,-0.17969751939313136,-1.109498618557272,1.2556063843032228,-0.35359370010366,0.45519611956513023,0.21598890389277256,0.745718993553366,0.4916033510483703,0.47277737587440577,6.966434429224902,5.763935871799488,5.25958097223972,16.728253401427878
3.485169780029358,2.661754151600449,7.505377779202964,6.0980646324815995,8.598461497601487,5.858422960778508,17.096095461477017,7.777711002060275,3.020531164257423,5.751841134939141,8.782298010010216,24.17739951570688,1.3313162633686246,1.7026733926632125,0.9585729333674917,0.5000053996663872,2.617837606228024,4.407996161532502,8.970064977105986,34.19182167409361,11.288029043473877,9.875646244742697,6.711147336186082,23.172577853132115,11.21174227100999,9.007067019973745,9.350038649072694,27.848195765949427,0.11134558080657463,-0.9250795181301271,2.236760381712886,-0.020058249407807077,0.5278076715515371,0.30709538756298266,0.9127835615847079,0.8058124290167923,0.6031034062754912,7.748682554062939,5.687823906308158,7.37368304136483,21.059555693129855
3.6743759559102935,2.6585050336625566,7.546745347818994,6.225257851225813,6.49188192430994,4.495303672256601,13.33315380004278,5.623017722336228,3.4684001728251443,5.579190039473808,6.5001115484057275,19.63924940054734,1.1222995341577,1.829688178071723,0.9974694543695719,0.4609098686060452,3.2739708465333717,4.124607372045427,6.508351605025326,28.927898290325096,11.11956419104405,10.031349650090034,6.154504728637128,23.245490166401975,9.639679475165064,7.955236172028556,6.859486976505541,23.067487746784224,0.11703292310363539,-1.5359340222673188,2.8247583382490355,-0.0051307102474715035,0.5292248813397036,0.19483391437995298,0.9498740834512364,0.8031116990993067,0.5473954554988544,6.794545175872572,5.2846498766092935,5.921128496291064,18.929051211734095
4.358699283165547,3.3854313241480862,7.446532224338771,6.502025573141418,8.844513880616029,5.814544237324145,24.163098443783127,13.293490489653731,3.6648761381850137,4.655547338001599,9.411275645619034,30.201293394273474,1.4144747896254752,2.5583894325507015,0.8831835035004285,0.6401093365889817,3.081496619900623,2.9106328104688175,10.014355845145989,37.74839244267797,11.51310479984951,10.671044782893603,5.9253606728980195,23.22694670979037,14.06148310269719,11.611744566616597,10.141552862625403,32.82380678574764,-0.10181837538587649,0.23552798383802484,2.0347941911377148,-0.6043884199857521,0.47456737398856297,0.53337768900904,0.8735784319755561,0.8973852709163528,0.5528388025732252,8.103502825071596,6.401443670475477,7.093215034543384,20.217607850881773
3.8675837720707267,2.8091529643651785,8.02629303484967,6.485320414264299,6.457469152118234,4.787429343112985,20.4280089593531,9.519364062036711,3.630396354386307,6.228200391322765,5.877152392359056,28.494645135142427,1.1349360046794044,1.6607523209603225,1.2072321049117094,0.5139555661115582,3.407754936070812,4.832925977913734,5.348987262553376,39.74664408035428,11.857319943937526,10.40086488494181,6.7861323768683075,24.076282846357262,10.468685168408472,9.321785827030208,6.938199113117847,24.44862363191664,-0.27403272456162026,-2.5831856146749956,2.7694993896651696,-0.4484702178205356,0.4319173361716131,0.054309389250978626,0.9238234046578596,0.4780843135344959,0.6489381952312276,7.395510610711561,5.9747194094377,5.853916284884295,18.135284417906146
4.91609393090047,4.009922153432943,8.051855799152918,6.9133817287844925,10.027082040077623,6.986649373855326,18.11630112231854,8.89683310421222,3.73372331473151,5.324772355358724,9.960759260275037,24.481140622991273,1.7336286725992347,2.286598350633383,1.0133611464875754,0.547615540674207,2.8357248634621133,3.5213249396959334,9.894875163541277,33.08215303753856,13.121945293772917,11.644755661045814,6.987400649535211,26.059429074031822,15.431845293944798,13.353148023084614,10.066988957978152,33.649731652179106,0.023036076735127902,-0.9677613556522969,2.5328335871862135,-0.531977006326902,0.5057587645234701,0.2799468471961791,0.9279668555801305,0.8303497888158277,0.6951183428311969,8.681554842123557,6.669294574664013,7.282667157094315,23.48806578314265
5.0198042994231145,3.4887236257579297,5.984841642830088,5.215404942354315,3.8893823272897783,1.704890398421291,13.304005310528249,8.031593693514456,5.0029472758328355,3.7678825307905233,5.614026482578904,15.404869002059673,1.006750190175392,2.522961469408222,0.47996808359266285,0.7458453732618795,4.986146859876515,2.3721494423907608,8.103418665209835,17.837484534286943,11.355130777503462,9.945598835614293,6.479858096376264,23.440375196274974,8.336601524536237,5.972327341820192,7.668367485795147,23.914332092987994,-0.23988794759317142,-2.439382089800422,3.9949050039505143,-0.3248178187579906,0.4403139644717526,0.06420772232473805,0.9771349909039129,0.7884545619962969,0.5285152108287489,4.819495000007038,3.7502539327340565,4.427429726480434,13.527806235274003
4.067950767420961,3.0486276223309283,7.176270437736568,5.880057306398959,4.22356385620206,2.3578709596030993,16.96754018261742,9.883080046543341,3.639376866227042,5.392438344895108,5.220331566649442,20.267379996529048,1.2493879590245416,1.771035297586832,0.6545788271717015,0.7008782004705719,3.2559548361559445,4.052019995036108,6.452338023903398,24.208971218145116,11.035055244768248,9.629299107011239,6.36971867550328,23.23071974998939,7.975807131170423,6.455841280596244,6.2588156224511815,19.099042497929723,-0.293117857510856,-0.45190825345542457,3.4203586716117798,-0.3523571523909564,0.4272407358490249,0.3219060508536892,0.9580025208906392,0.9355552876774943,0.5894482606561088,5.649554050635151,4.244821785272547,5.443668792968916,16.245848673407796
